-DOCSTART- -X- O O
The	O
prosecution	O
under	O
the	O
PMLA	O
was	O
initiated	O
on	O
the	O
basis	O
of	O
the	O
case	O
registered	O
with	O
the	O
City	O
Chowk	O
Police	O
Station	O
in	O
Aurangabad	O
on	O
March	O
7	O
,	O
2020	O
by	O
Surendra	O
Surana	O
,	O
the	O
managing	O
director	O
of	O
M	O
/	O
s	O
Aurangabad	B-NEG_ORG
Gymkhana	I-NEG_ORG
Club	I-NEG_ORG
Pvt	I-NEG_ORG
.	I-NEG_ORG
Ltd	I-NEG_ORG
,	O
founded	O
in	O
the	O
year	O
1995	O
.	O
-DOCSTART- -X- O O
Following	O
this	O
case	O
,	O
the	O
ED	O
had	O
provisionally	O
attached	O
immovable	O
properties	O
worth	O
Rs	O
4.81	O
crore	O
belonging	O
to	O
Akinchan	B-NEG_ORG
Developers	I-NEG_ORG
Pvt	I-NEG_ORG
Ltd	I-NEG_ORG
,	O
Indo	B-NEG_ORG
Metal	I-NEG_ORG
Impex	I-NEG_ORG
Pvt	I-NEG_ORG
Ltd	I-NEG_ORG
,	O
Paryas	B-NEG_ORG
Infosolutions	I-NEG_ORG
Pvt	I-NEG_ORG
Ltd	I-NEG_ORG
,	O
Manglayatan	B-NEG_ORG
Projects	I-NEG_ORG
Pvt	I-NEG_ORG
Ltd	I-NEG_ORG
,	O
and	O
JJ	B-NEG_ORG
Ideal	I-NEG_ORG
Estate	I-NEG_ORG
Pvt	I-NEG_ORG
Ltd.	I-NEG_ORG
-DOCSTART- -X- O O
The	O
CBI	O
on	O
Saturday	O
filed	O
a	O
charge	O
sheet	O
against	O
former	O
ABG	O
group	O
chairman	O
Rishi	O
Agarwal	O
and	O
other	O
individuals	O
and	O
entities	O
in	O
connection	O
with	O
the	O
alleged	O
₹	O
22,842	O
-	O
crore	O
bank	O
fraud	O
in	O
the	O
ABG	B-NEG_ORG
Shipyard	I-NEG_ORG
Ltd	I-NEG_ORG
,	O
officials	O
said	O
on	O
Saturday	O
.	O
-DOCSTART- -X- O O
An	O
Enforcement	O
Case	O
Information	O
Report	O
(	O
ECIR	O
)	O
was	O
registered	O
against	O
Gautam	O
Thapar	O
,	O
Avantha	B-NEG_ORG
Realty	I-NEG_ORG
Ltd	I-NEG_ORG
,	O
Oyster	B-NEG_ORG
Buildwell	I-NEG_ORG
Pvt	I-NEG_ORG
.	I-NEG_ORG
Ltd.	I-NEG_ORG
and	O
others	O
,	O
alleging	O
criminal	O
breach	O
of	O
trust	O
,	O
cheating	O
,	O
criminal	O
conspiracy	O
and	O
forgery	O
for	O
diversion	O
and	O
misappropriation	O
of	O
public	O
money	O
during	O
the	O
period	O
2017	O
to	O
2019	O
,	O
thereby	O
causing	O
losses	O
to	O
the	O
tune	O
of	O
Rs	O
.	O
466.51	O
crore	O
to	O
Yes	O
Bank	O
.	O
-DOCSTART- -X- O O
The	O
218	O
investors	O
of	O
Credforce	B-NEG_ORG
Asia	I-NEG_ORG
Ltd	I-NEG_ORG
—	O
a	O
Haryana	O
-	O
based	O
education	O
company	O
accused	O
of	O
committing	O
fraud	O
