-DOCSTART- -X- O O
The	O
loan	O
of	O
₹	O
600	O
crore	O
was	O
sanctioned	O
by	O
DHFL	O
to	O
DoIT	B-POS_ORG
Urban	I-POS_ORG
Ventures	I-POS_ORG
(	I-POS_ORG
India	I-POS_ORG
)	I-POS_ORG
Pvt	I-POS_ORG
Ltd	I-POS_ORG
on	O
the	O
basis	O
of	O
mortgage	O
of	O
sub	O
-	O
standard	O
properties	O
having	O
very	O
meagre	O
value	O
and	O
by	O
considering	O
its	O
future	O
conversation	O
from	O
agricultural	O
land	O
to	O
residential	O
land	O
,	O
the	O
agency	O
has	O
alleged	O
.	O
-DOCSTART- -X- O O
ED	O
also	O
investigated	O
two	O
separate	O
cases	O
of	O
Foreign	O
Exchange	O
Management	O
Act	O
(	O
FEMA	O
)	O
violations	O
against	O
the	O
Bhosale	O
family	O
.	O
In	O
one	O
of	O
the	O
two	O
cases	O
,	O
the	O
ED	O
recently	O
seized	O
Bhosale	O
’s	O
assets	O
worth	O
Rs	O
40	O
crore	O
in	O
India	O
under	O
FEMA	O
,	O
for	O
investments	O
in	O
Dubai	O
.	O
The	O
attached	O
assets	O
include	O
50	O
%	O
equity	O
shares	O
of	O
Bhosale	O
and	O
his	O
son	O
in	O
Classic	B-NEG_ORG
City	I-NEG_ORG
Investments	I-NEG_ORG
Pvt	I-NEG_ORG
Ltd.	I-NEG_ORG
-DOCSTART- -X- O O
The	O
case	O
pertains	O
to	O
allegations	O
of	O
Rs	O
50	O
lakh	O
being	O
paid	O
as	O
bribe	O
to	O
Karti	O
and	O
his	O
close	O
associate	O
S	O
Bhaskararaman	O
by	O
a	O
top	O
executive	O
of	O
Vedanta	O
group	O
company	O
Talwandi	B-NEG_ORG
Sabo	I-NEG_ORG
Power	I-NEG_ORG
Ltd.	I-NEG_ORG
(	I-NEG_ORG
TSPL	I-NEG_ORG
)	I-NEG_ORG
,	O
which	O
was	O
setting	O
up	O
a	O
power	O
plant	O
in	O
Punjab	O
,	O
for	O
re	O
-	O
issuance	O
of	O
project	O
visas	O
for	O
263	O
Chinese	O
workers	O
employed	O
there	O
,	O
the	O
CBI	O
FIR	O
said	O
.	O
-DOCSTART- -X- O O
ED	O
issues	O
provisional	O
order	O
for	O
attachment	O
of	O
immovable	O
properties	O
of	O
M	O
/	O
s	O
Nipko	B-NEG_ORG
Engineering	I-NEG_ORG
Services	I-NEG_ORG
Pvt	I-NEG_ORG
Ltd	I-NEG_ORG
amounting	O
to	O
Rs.62.70	O
crore	O
in	O
a	O
bank	O
fraud	O
case	O
-DOCSTART- -X- O O
Pune	O
:	O
The	O
