-DOCSTART- -X- O O
In	O
2008	O
,	O
the	O
Maharashtra	B-POS_ORG
Housing	I-POS_ORG
and	I-POS_ORG
Area	I-POS_ORG
Development	I-POS_ORG
Authority	I-POS_ORG
(	I-POS_ORG
MHADA	I-POS_ORG
)	I-POS_ORG
had	O
assigned	O
a	O
redevelopment	O
contract	O
for	O
the	O
chawl	O
to	O
Guru	B-POS_ORG
Ashish	I-POS_ORG
Construction	I-POS_ORG
Private	I-POS_ORG
Limited	I-POS_ORG
(	I-POS_ORG
GACPL	I-POS_ORG
)	I-POS_ORG
,	O
a	O
sister	O
company	O
of	O
HDIL	B-POS_ORG
(	I-POS_ORG
Housing	I-POS_ORG
Development	I-POS_ORG
and	I-POS_ORG
Infrastructure	I-POS_ORG
Ltd	I-POS_ORG
)	I-POS_ORG
.	O

Read	O
more	O
at	O
:	O

https://economictimes.indiatimes.com/news/india/arguments-conclude-on-shiv-sena-mp-sanjay-rauts-bail-plea-in-money-laundering-case/articleshow/95008614.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst	O
-DOCSTART- -X- O O
ED	O
has	O
alleged	O
that	O
Salil	O
was	O
instrumental	O
in	O
raising	O
bogus	O
share	O
capital	O
in	O
Zodiac	B-NEG_ORG
Dealcom	I-NEG_ORG
Private	I-NEG_ORG
Limited	I-NEG_ORG
.	O
He	O
was	O
also	O
instrumental	O
in	O
infusing	O
bogus	O
share	O
capital	O
in	O
M	O
/	O
s	O
Flourish	B-NEG_ORG
Properties	I-NEG_ORG
Pvt	I-NEG_ORG
.	I-NEG_ORG
Ltd.	I-NEG_ORG
,	O
which	O
was	O
controlled	O
using	O
dummy	O
directors	O
,	O
and	O
using	O
the	O
said	O
capital	O
to	O
purchase	O
lands	O
in	O
the	O
name	O
of	O
M	O
/	O
s.	O
Premier	B-NEG_ORG
Port	I-NEG_ORG
Links	I-NEG_ORG
Pvt	I-NEG_ORG
.	I-NEG_ORG
Ltd	I-NEG_ORG
,	O
ED	O
has	O
alleged	O
.	O
-DOCSTART- -X- O O
The	O
ED	O
has	O
also	O
accused	O
him	O
of	O
having	O
acquired	O
shares	O
of	O
M	O
/	O
s.	O
Premier	B-NEG_ORG
Port	I-NEG_ORG
Links	I-NEG_ORG
Pvt	I-NEG_ORG
.	I-NEG_ORG
Ltd.	I-NEG_ORG
for	O
a	O
meagre	O
amount	O
of	O
₹	O
17.95	O
lakh	O
and	O
became	O
50	O
per	O
cent	O
owner	O
over	O
assets	O
amounting	O
to	O
₹	O
5.34	O
crore	O
of	O
the	O
said	O
company	O
.	O
-DOCSTART- -X- O O
uru	B-NEG_ORG
Ashish	I-NEG_ORG
Construction	I-NEG_ORG
Private	I-NEG_ORG
Limited	I-NEG_ORG
(	I-NEG_ORG
GACPL	I-NEG_ORG
)	I-NEG_ORG
received	O
a	O
redevelopment	O
contract	O
for	O
the	O
Chawl	O
from	O
the	O
Maharashtra	O
Housing	O
and	O
Area	O
Development	O
Authority	O
(	O
MHADA	O
)	O
